BarackObama,9.67E+17,22.2.18 16:00,"b'Young people have helped lead all our great movements. How inspiring to see it again in so many smart, fearless stu\xe2\x80\xa6 https://t.co/wXO3wBtJ8V'",4,421736,1510414,4,4
BarackObama,9.66E+17,21.2.18 16:33,"b'Billy Graham was a humble servant who prayed for so many - and who, with wisdom and grace, gave hope and guidance t\xe2\x80\xa6 https://t.co/V8WtgIRPEB'",4,34176,242795,4,4
BarackObama,9.64E+17,15.2.18 17:12,b'We are grieving with Parkland. But we are not powerless. Caring for our kids is our first job. And until we can hon\xe2\x80\xa6 https://t.co/LWGSkzRapH',4,382286,1316824,4,4
BarackObama,9.64E+17,14.2.18 16:25,"b'Happy Valentine\xe2\x80\x99s Day, @MichelleObama. You make every day and every place better. https://t.co/aWvyytR7Mm'",4,245433,1514759,4,0
BarackObama,9.64E+17,14.2.18 16:24,"b'RT @MichelleObama: Happy #ValentinesDay to my one and only, @BarackObama. To celebrate the occasion, I\xe2\x80\x99m dedicating a little Valentine\xe2\x80\x99s Da\xe2\x80\xa6'",4,26638,0,4,4
BarackObama,9.53E+17,15.1.18 14:46,"b'Dr. King was 26 when the Montgomery bus boycott began. He started small, rallying others who believed their efforts\xe2\x80\xa6 https://t.co/N0zwBg7gTi'",-4,377930,1468138,-4,-4
BarackObama,9.47E+17,29.12.17 16:11,"b'All across America people chose to get involved, get engaged and stand up. Each of us can make a difference, and al\xe2\x80\xa6 https://t.co/zxpKVnNeHZ'",0,116372,504955,0,0
BarackObama,9.47E+17,29.12.17 16:10,"b'Ten-year-old Jahkil Jackson is on a mission to help homeless people in Chicago. He created kits full of socks, toil\xe2\x80\xa6 https://t.co/7mNk6dmnyC'",4,49331,307643,4,-4
BarackObama,9.47E+17,29.12.17 16:10,"b'Chris Long gave his paychecks from the first six games of the NFL season to fund scholarships in Charlottesville, V\xe2\x80\xa6 https://t.co/KxUk5Wle6h'",4,67687,269161,4,4
BarackObama,9.47E+17,29.12.17 16:09,"b'Kat Creech, a wedding planner in Houston, turned a postponed wedding into a volunteer opportunity for Hurricane Har\xe2\x80\xa6 https://t.co/MCXiSuAVJN'",0,23917,155478,0,0
BarackObama,9.47E+17,29.12.17 16:09,"b'As we count down to the new year, we get to reflect and prepare for what\xe2\x80\x99s ahead. For all the bad news that seemed\xe2\x80\xa6 https://t.co/WaUHkVww2g'",-4,179111,786833,4,4
BarackObama,9.46E+17,27.12.17 21:02,"b'RT @MBK_Alliance: I am my Brother\xe2\x80\x99s Keeper. \nWatch our new PSA with @BarackObama, @StephenCurry30 &amp; @chancetherapper, then take action to s\xe2\x80\xa6'",4,7037,0,4,4
BarackObama,9.45E+17,25.12.17 16:05,"b'On behalf of the Obama family, Merry Christmas! We wish you joy and peace this holiday season. https://t.co/CNFUZrhrBj'",4,255016,1479916,4,0
BarackObama,9.41E+17,14.12.17 22:39,"b""There's no better time than the holiday season to reach out and give back to our communities. Great to hear from yo\xe2\x80\xa6 https://t.co/gp5dCy9oN2""",4,60298,416038,4,4
BarackObama,9.41E+17,13.12.17 00:17,"b'Happy Hanukkah, everybody, from the Obama family to yours. Chag Sameach!'",4,85653,693098,4,0
BarackObama,9.40E+17,11.12.17 20:16,b'Just got off a call to thank folks who are working hard to help more Americans across the country sign up for healt\xe2\x80\xa6 https://t.co/A9QvCySWJ8',4,87769,226945,4,4
BarackObama,9.38E+17,4.12.17 22:57,b'RT @ObamaFoundation: Watch: We hosted a Town Hall in New Delhi with @BarackObama and young leaders about how to drive change and make an im\xe2\x80\xa6',4,6661,0,0,4
BarackObama,9.35E+17,27.11.17 21:13,b'Michelle and I are delighted to congratulate Prince Harry and Meghan Markle on their engagement. We wish you a life\xe2\x80\xa6 https://t.co/KC9nmjZPuX',4,115842,1164287,4,4
BarackObama,9.34E+17,23.11.17 14:44,"b'From the Obama family to yours, we wish you a Happy Thanksgiving full of joy and gratitude. https://t.co/xAvSQwjQkz'",4,216015,1389168,4,0
BarackObama,9.33E+17,20.11.17 19:02,"b'ME:  Joe, about halfway through the speech, I\xe2\x80\x99m gonna wish you a happy birth--\nBIDEN:  IT\xe2\x80\x99S MY BIRTHDAY!\nME:  Joe.\xe2\x80\xa6 https://t.co/5qLUsDoaMi'",4,507514,2017167,4,0
BarackObama,9.29E+17,11.11.17 15:13,"b'RT @ObamaFoundation: Today, we honor those who have honored our country with its highest form of service. https://t.co/IbJNCwIofL https://t\xe2\x80\xa6'",0,8908,0,0,0
BarackObama,9.28E+17,8.11.17 13:25,b'This is what happens when the people vote. Congrats @RalphNortham and @PhilMurphyNJ . And congratulations to all th\xe2\x80\xa6 https://t.co/ZvUKZIDGAj',0,73624,431132,0,0
BarackObama,9.28E+17,7.11.17 01:02,b'Every election matters - those who show up determine our future. Go vote tomorrow! https://t.co/j1wh8hLamw',0,58426,193369,0,0
